"Año","Trimestre","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Gipuzkoa","Bizkaia","La Rioja","Ceuta","Melilla"
"Año 2016","Tercero","257.0","317.0","104.0","313.0","143.0","194.0","368.0","484.0","63.0","17.0","158.0","201.0","234.0","246.0","375.0","77.0","22.0","58.0","59.0","31.0","31.0","14.0","13.0","117.0","35.0","114.0","157.0","27.0","69.0","144.0","966.0","139.0","70.0","271.0","481.0","116.0","635.0","149.0","69.0","202.0","54.0","108.0","133.0","1409.0","453.0","100.0","18.0","83.0","83.0","78.0","41.0","17.0"
"Año 2016","Cuarto","248.0","295.0","109.0","228.0","115.0","141.0","386.0","444.0","26.0","24.0","160.0","199.0","163.0","223.0","340.0","77.0","32.0","69.0","59.0","32.0","35.0","21.0","25.0","98.0","30.0","73.0","183.0","22.0","44.0","131.0","848.0","129.0","63.0","201.0","444.0","118.0","590.0","116.0","73.0","178.0","42.0","80.0","148.0","1309.0","395.0","83.0","23.0","62.0","100.0","54.0","34.0","13.0"
"Año 2017","Primero","279.0","336.0","95.0","249.0","112.0","129.0","365.0","412.0","33.0","20.0","142.0","187.0","195.0","233.0","343.0","70.0","26.0","50.0","80.0","25.0","30.0","17.0","15.0","89.0","47.0","50.0","140.0","35.0","56.0","115.0","942.0","115.0","80.0","249.0","492.0","140.0","603.0","128.0","53.0","186.0","37.0","100.0","146.0","1372.0","372.0","100.0","23.0","74.0","111.0","65.0","62.0","13.0"
"Año 2017","Segundo","293.0","403.0","124.0","242.0","166.0","164.0","398.0","544.0","49.0","27.0","122.0","216.0","247.0","208.0","312.0","80.0","23.0","81.0","81.0","15.0","45.0","18.0","27.0","98.0","35.0","65.0","119.0","27.0","76.0","161.0","953.0","154.0","85.0","231.0","540.0","123.0","527.0","134.0","59.0","178.0","56.0","106.0","137.0","1592.0","373.0","102.0","41.0","70.0","142.0","85.0","49.0","39.0"
"Año 2017","Tercero","268.0","369.0","111.0","278.0","132.0","118.0","350.0","503.0","48.0","13.0","158.0","215.0","271.0","237.0","318.0","92.0","34.0","56.0","87.0","11.0","33.0","16.0","16.0","114.0","44.0","74.0","113.0","27.0","64.0","133.0","959.0","138.0","66.0","237.0","515.0","98.0","551.0","159.0","58.0","163.0","62.0","100.0","153.0","1412.0","408.0","82.0","22.0","69.0","114.0","53.0","31.0","22.0"
"Año 2017","Cuarto","259.0","346.0","104.0","255.0","115.0","140.0","349.0","475.0","39.0","9.0","125.0","204.0","193.0","202.0","272.0","54.0","26.0","55.0","79.0","15.0","41.0","13.0","20.0","109.0","26.0","64.0","101.0","24.0","46.0","103.0","858.0","88.0","70.0","216.0","449.0","107.0","546.0","140.0","61.0","194.0","61.0","116.0","133.0","1363.0","402.0","81.0","32.0","68.0","106.0","40.0","26.0","13.0"
"Año 2018","Primero","314.0","273.0","103.0","273.0","170.0","143.0","283.0","440.0","33.0","21.0","109.0","194.0","192.0","215.0","267.0","87.0","18.0","64.0","73.0","12.0","37.0","13.0","9.0","92.0","38.0","86.0","105.0","28.0","52.0","133.0","891.0","127.0","77.0","192.0","458.0","117.0","538.0","111.0","69.0","164.0","42.0","133.0","120.0","1400.0","392.0","104.0","29.0","67.0","87.0","66.0","38.0","5.0"
"Año 2018","Segundo","415.0","340.0","95.0","231.0","235.0","137.0","351.0","460.0","30.0","11.0","126.0","216.0","220.0","186.0","384.0","94.0","23.0","64.0","55.0","14.0","37.0","14.0","19.0","101.0","41.0","81.0","92.0","43.0","59.0","157.0","970.0","85.0","66.0","259.0","494.0","127.0","617.0","143.0","84.0","204.0","38.0","121.0","119.0","1432.0","422.0","83.0","46.0","82.0","73.0","73.0","30.0","7.0"
"Año 2018","Tercero","343.0","300.0","106.0","300.0","178.0","130.0","379.0","510.0","34.0","15.0","127.0","229.0","262.0","183.0","452.0","94.0","32.0","52.0","74.0","21.0","27.0","18.0","19.0","111.0","31.0","102.0","125.0","45.0","74.0","154.0","952.0","140.0","65.0","163.0","503.0","127.0","719.0","137.0","50.0","201.0","52.0","117.0","153.0","1523.0","430.0","90.0","41.0","74.0","66.0","90.0","31.0","6.0"
"Año 2018","Cuarto","306.0","359.0","102.0","242.0","162.0","94.0","388.0","443.0","53.0","11.0","145.0","208.0","308.0","202.0","310.0","77.0","25.0","57.0","60.0","23.0","35.0","13.0","26.0","106.0","33.0","75.0","113.0","50.0","39.0","158.0","874.0","109.0","88.0","194.0","596.0","130.0","643.0","146.0","94.0","198.0","64.0","162.0","133.0","1463.0","404.0","91.0","31.0","62.0","85.0","78.0","38.0","3.0"
"Año 2019","Primero","367.0","264.0","110.0","196.0","139.0","87.0","342.0","415.0","45.0","20.0","183.0","215.0","251.0","240.0","473.0","55.0","34.0","53.0","53.0","17.0","28.0","12.0","10.0","101.0","24.0","80.0","114.0","44.0","68.0","131.0","945.0","111.0","70.0","242.0","554.0","118.0","615.0","145.0","58.0","162.0","46.0","90.0","135.0","1405.0","303.0","80.0","36.0","51.0","101.0","67.0","21.0","4.0"
