Año,Trimestre,Provincia,Numero_ordenes
2012,Primero,Melilla,0
2012,Segundo,Almería,111
2012,Segundo,Cádiz,304
2012,Segundo,Córdoba,105
2012,Segundo,Granada,99
2012,Segundo,Huelva,149
2012,Segundo,Jaén,106
2012,Segundo,Málaga,284
2012,Segundo,Sevilla,409
2012,Segundo,Huesca,25
2012,Segundo,Teruel,22
2012,Segundo,Zaragoza,122
2012,Segundo,Asturias,195
2012,Segundo,Illes Balears,213
2012,Segundo,Las Palmas,308
2012,Segundo,Santa Cruz de Tenerife,315
2012,Segundo,Cantabria,95
2012,Segundo,Ávila,30
2012,Segundo,Burgos,43
2012,Segundo,León,148
2012,Segundo,Palencia,20
2012,Segundo,Salamanca,15
2012,Segundo,Segovia,20
2012,Segundo,Soria,12
2012,Segundo,Valladolid,94
2012,Segundo,Zamora,17
2012,Segundo,Albacete,64
2012,Segundo,Ciudad Real,96
2012,Segundo,Cuenca,66
2012,Segundo,Guadalajara,63
2012,Segundo,Toledo,114
2012,Segundo,Barcelona,1066
2012,Segundo,Girona,216
2012,Segundo,Lleida,63
2012,Segundo,Tarragona,244
2012,Segundo,Alicante/Alacant,583
2012,Segundo,Castellón/Castelló,108
2012,Segundo,Valencia/València,511
2012,Segundo,Badajoz,138
2012,Segundo,Cáceres,75
2012,Segundo,A Coruña,90
2012,Segundo,Lugo,45
2012,Segundo,Ourense,77
2012,Segundo,Pontevedra,157
2012,Segundo,Madrid,1416
2012,Segundo,Murcia,286
2012,Segundo,Navarra,69
2012,Segundo,Araba/Álava,62
2012,Segundo,Gipuzkoa,74
2012,Segundo,Bizkaia,106
2012,Segundo,La Rioja,65
2012,Segundo,Ceuta,22
2012,Segundo,Melilla,2
2012,Tercero,Almería,85
2012,Tercero,Cádiz,253
2012,Tercero,Córdoba,116
2012,Tercero,Granada,107
2012,Tercero,Huelva,108
2012,Tercero,Jaén,91
2012,Tercero,Málaga,267
2012,Tercero,Sevilla,532
2012,Tercero,Huesca,22
2012,Tercero,Teruel,13
2012,Tercero,Zaragoza,151
2012,Tercero,Asturias,205
2012,Tercero,Illes Balears,280
2012,Tercero,Las Palmas,284
2012,Tercero,Santa Cruz de Tenerife,383
2012,Tercero,Cantabria,71
2012,Tercero,Ávila,30
2012,Tercero,Burgos,53
2012,Tercero,León,89
2012,Tercero,Palencia,25
2012,Tercero,Salamanca,11
2012,Tercero,Segovia,20
2012,Tercero,Soria,10
2012,Tercero,Valladolid,113
2012,Tercero,Zamora,20
2012,Tercero,Albacete,64
2012,Tercero,Ciudad Real,104
2012,Tercero,Cuenca,88
2012,Tercero,Guadalajara,75
2012,Tercero,Toledo,123
2012,Tercero,Barcelona,1064
2012,Tercero,Girona,231
2012,Tercero,Lleida,70
2012,Tercero,Tarragona,198
2012,Tercero,Alicante/Alacant,599
2012,Tercero,Castellón/Castelló,128
2012,Tercero,Valencia/València,336
2012,Tercero,Badajoz,119
2012,Tercero,Cáceres,71
2012,Tercero,A Coruña,94
2012,Tercero,Lugo,49
2012,Tercero,Ourense,79
2012,Tercero,Pontevedra,163
2012,Tercero,Madrid,1372
2012,Tercero,Murcia,314
2012,Tercero,Navarra,70
2012,Tercero,Araba/Álava,27
2012,Tercero,Gipuzkoa,61
2012,Tercero,Bizkaia,101
2012,Tercero,La Rioja,70
2012,Tercero,Ceuta,21
2012,Tercero,Melilla,1
2012,Cuarto,Almería,57
2012,Cuarto,Cádiz,317
2012,Cuarto,Córdoba,85
2012,Cuarto,Granada,81
2012,Cuarto,Huelva,94
2012,Cuarto,Jaén,117
2012,Cuarto,Málaga,258
2012,Cuarto,Sevilla,470
2012,Cuarto,Huesca,18
2012,Cuarto,Teruel,9
2012,Cuarto,Zaragoza,105
2012,Cuarto,Asturias,216
2012,Cuarto,Illes Balears,158
2012,Cuarto,Las Palmas,296
2012,Cuarto,Santa Cruz de Tenerife,282
2012,Cuarto,Cantabria,70
2012,Cuarto,Ávila,48
2012,Cuarto,Burgos,53
2012,Cuarto,León,40
2012,Cuarto,Palencia,11
2012,Cuarto,Salamanca,9
2012,Cuarto,Segovia,17
2012,Cuarto,Soria,18
2012,Cuarto,Valladolid,93
2012,Cuarto,Zamora,16
2012,Cuarto,Albacete,68
2012,Cuarto,Ciudad Real,85
2012,Cuarto,Cuenca,52
2012,Cuarto,Guadalajara,78
2012,Cuarto,Toledo,110
2012,Cuarto,Barcelona,904
2012,Cuarto,Girona,186
2012,Cuarto,Lleida,53
2012,Cuarto,Tarragona,213
2012,Cuarto,Alicante/Alacant,448
2012,Cuarto,Castellón/Castelló,104
2012,Cuarto,Valencia/València,369
2012,Cuarto,Badajoz,103
2012,Cuarto,Cáceres,67
2012,Cuarto,A Coruña,71
2012,Cuarto,Lugo,43
2012,Cuarto,Ourense,77
2012,Cuarto,Pontevedra,125
2012,Cuarto,Madrid,1316
2012,Cuarto,Murcia,252
2012,Cuarto,Navarra,63
2012,Cuarto,Araba/Álava,22
2012,Cuarto,Gipuzkoa,74
2012,Cuarto,Bizkaia,113
2012,Cuarto,La Rioja,61
2012,Cuarto,Ceuta,27
2012,Cuarto,Melilla,2
2013,Primero,Almería,52
2013,Primero,Cádiz,219
2013,Primero,Córdoba,109
2013,Primero,Granada,73
2013,Primero,Huelva,95
2013,Primero,Jaén,90
2013,Primero,Málaga,244
2013,Primero,Sevilla,400
2013,Primero,Huesca,16
2013,Primero,Teruel,7
2013,Primero,Zaragoza,106
2013,Primero,Asturias,167
2013,Primero,Illes Balears,185
2013,Primero,Las Palmas,270
2013,Primero,Santa Cruz de Tenerife,281
2013,Primero,Cantabria,67
2013,Primero,Ávila,25
2013,Primero,Burgos,42
2013,Primero,León,58
2013,Primero,Palencia,15
2013,Primero,Salamanca,11
2013,Primero,Segovia,21
2013,Primero,Soria,13
2013,Primero,Valladolid,85
2013,Primero,Zamora,12
2013,Primero,Albacete,50
2013,Primero,Ciudad Real,85
2013,Primero,Cuenca,35
2013,Primero,Guadalajara,63
2013,Primero,Toledo,108
2013,Primero,Barcelona,941
2013,Primero,Girona,210
2013,Primero,Lleida,64
2013,Primero,Tarragona,200
2013,Primero,Alicante/Alacant,430
2013,Primero,Castellón/Castelló,102
2013,Primero,Valencia/València,370
2013,Primero,Badajoz,125
