"Año","Mes","Provincia","Tramo de edad Víctima","Tramo de edad Agresor","Número de mujeres víctimas mortales"
"Año 2006","Mayo","Madrid","31-40 años","51-60 años","1.0"
"Año 2006","Mayo","Bizkaia","31-40 años","31-40 años","1.0"
"Año 2006","Junio","Córdoba","31-40 años","No consta","1.0"
"Año 2006","Junio","Murcia","61-70 años","61-70 años","1.0"
"Año 2006","Julio","Almería","41-50 años","41-50 años","1.0"
"Año 2006","Julio","Asturias","21-30 años","41-50 años","1.0"
"Año 2006","Julio","Illes Balears","51-60 años","61-70 años","1.0"
"Año 2006","Julio","Ávila","21-30 años","No consta","1.0"
"Año 2006","Julio","Ciudad Real","31-40 años","41-50 años","1.0"
"Año 2006","Julio","Valencia/València","61-70 años","71-84 años","1.0"
"Año 2006","Julio","Madrid","18-20 años","21-30 años","1.0"
"Año 2006","Julio","Bizkaia","21-30 años","21-30 años","1.0"
"Año 2006","Agosto","Granada","41-50 años","31-40 años","1.0"
"Año 2006","Agosto","Jaén","18-20 años","18-20 años","1.0"
"Año 2006","Agosto","Sevilla","51-60 años","51-60 años","1.0"
"Año 2006","Agosto","Las Palmas","31-40 años","31-40 años","1.0"
"Año 2006","Agosto","Ciudad Real","21-30 años","21-30 años","2.0"
"Año 2006","Agosto","Barcelona","31-40 años","21-30 años","1.0"
"Año 2006","Agosto","Barcelona","31-40 años","31-40 años","1.0"
"Año 2006","Agosto","Girona","31-40 años","31-40 años","1.0"
"Año 2006","Septiembre","Almería","31-40 años","41-50 años","1.0"
"Año 2006","Septiembre","Córdoba","16-17 años","21-30 años","1.0"
"Año 2006","Septiembre","Granada","41-50 años","41-50 años","1.0"
"Año 2006","Septiembre","Granada","71-84 años","71-84 años","1.0"
"Año 2006","Octubre","Granada","31-40 años","41-50 años","1.0"
"Año 2006","Octubre","Jaén","21-30 años","31-40 años","1.0"
"Año 2006","Octubre","Illes Balears","21-30 años","41-50 años","1.0"
"Año 2006","Octubre","Girona","21-30 años","31-40 años","1.0"
"Año 2006","Octubre","Alicante/Alacant","61-70 años","71-84 años","1.0"
"Año 2006","Octubre","Castellón/Castelló","31-40 años","21-30 años","1.0"
"Año 2006","Noviembre","Sevilla","41-50 años","41-50 años","1.0"
"Año 2006","Noviembre","Castellón/Castelló","71-84 años",">=85 años","1.0"
"Año 2006","Diciembre","Jaén","21-30 años","18-20 años","1.0"
"Año 2006","Diciembre","Málaga","41-50 años","41-50 años","1.0"
"Año 2006","Diciembre","Asturias","71-84 años",">=85 años","1.0"
"Año 2006","Diciembre","Santa Cruz de Tenerife","21-30 años","31-40 años","1.0"
"Año 2006","Diciembre","Barcelona","31-40 años","21-30 años","1.0"
"Año 2006","Diciembre","Valencia/València","51-60 años","51-60 años","1.0"
"Año 2007","Enero","Illes Balears","31-40 años","31-40 años","1.0"
"Año 2007","Enero","Soria","31-40 años","41-50 años","1.0"
"Año 2007","Enero","Ciudad Real","31-40 años","41-50 años","1.0"
"Año 2007","Enero","Lleida","31-40 años","41-50 años","1.0"
"Año 2007","Enero","Madrid","41-50 años","31-40 años","1.0"
"Año 2007","Febrero","Sevilla","31-40 años","31-40 años","1.0"
"Año 2007","Febrero","Asturias","61-70 años","61-70 años","1.0"
"Año 2007","Febrero","Barcelona","51-60 años","51-60 años","1.0"
"Año 2007","Febrero","Alicante/Alacant","31-40 años","31-40 años","1.0"
"Año 2007","Febrero","A Coruña","71-84 años","71-84 años","1.0"
"Año 2007","Febrero","Pontevedra","21-30 años","21-30 años","1.0"
"Año 2007","Febrero","Pontevedra","41-50 años","41-50 años","1.0"
"Año 2007","Febrero","Madrid","21-30 años","21-30 años","1.0"
"Año 2007","Febrero","Madrid","31-40 años","31-40 años","1.0"
"Año 2007","Marzo","Girona","41-50 años","41-50 años","1.0"
"Año 2007","Marzo","Alicante/Alacant","21-30 años","21-30 años","1.0"
"Año 2007","Marzo","Castellón/Castelló","31-40 años","41-50 años","1.0"
"Año 2007","Marzo","Bizkaia","61-70 años","71-84 años","1.0"
"Año 2007","Abril","Tarragona","31-40 años","41-50 años","1.0"
"Año 2007","Abril","Madrid","21-30 años","31-40 años","2.0"
"Año 2007","Abril","Navarra","21-30 años","21-30 años","1.0"
"Año 2007","Mayo","Almería","21-30 años","21-30 años","1.0"
"Año 2007","Mayo","Jaén","41-50 años","41-50 años","1.0"
"Año 2007","Mayo","Sevilla","71-84 años","71-84 años","1.0"
"Año 2007","Mayo","Santa Cruz de Tenerife","21-30 años","21-30 años","1.0"
"Año 2007","Mayo","Cantabria","41-50 años","31-40 años","1.0"
"Año 2007","Mayo","Ciudad Real","21-30 años","31-40 años","1.0"
"Año 2007","Mayo","Valencia/València","18-20 años","21-30 años","1.0"
"Año 2007","Junio","Asturias","21-30 años","31-40 años","1.0"
"Año 2007","Junio","Santa Cruz de Tenerife","61-70 años","61-70 años","1.0"
"Año 2007","Junio","Santa Cruz de Tenerife","71-84 años","61-70 años","1.0"
"Año 2007","Junio","Albacete","51-60 años","51-60 años","1.0"
"Año 2007","Junio","Toledo","21-30 años","21-30 años","1.0"
